gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
ENSG00000249883	0.0000	0.0018	0.0005	0.0005	0.0000	0.0000	0.0000	0.0005	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RNF103-CHMP3	0.0757	0.8321	0.0346	0.0289	0.0414	0.0347	0.0270	0.2331	0.1016	0.0973	0.0438	0.0000	0.0338	0.6834	0.0896	0.0444	0.0130	0.0091	0.0418	0.0000	0.0595	0.0000	0.0094	0.0356	0.0676	0.0799	0.0000	0.0453
ARHGEF38-IT1	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0088	0.0000	0.0000	0.0013	0.0000	0.0114	0.0142	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0260	0.0002	0.0000	0.0018	0.0098	0.0166
ENSG00000249887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249888	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0023	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000
ALG1L11P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0005	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249890	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
KRT19P6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249892	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MTND6P16	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249894	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JAKMIP1-DT	0.0025	0.0000	0.0008	0.0030	0.0000	0.0000	0.0000	0.0004	0.0038	0.0003	0.0067	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.2126	0.0078	0.0000	0.0000	0.0058	0.0048	0.0000	0.0002	0.0000
MCPH1-AS1	0.0965	0.0683	0.0405	0.0254	0.0756	0.0244	0.1033	0.1506	0.0761	0.0368	0.0727	0.5451	0.0867	0.0856	0.0138	0.2149	0.0000	0.0316	0.0238	0.0214	0.1383	0.0000	0.0451	0.0380	0.1161	0.1890	0.1062	0.1681
ITGA2-AS1	0.0000	0.0133	0.0575	0.0527	0.0377	0.0048	0.0000	0.0180	0.0245	0.0211	0.1085	0.0000	0.0107	0.0196	0.0208	0.0242	0.0000	0.0000	0.0000	0.0000	0.0037	0.0000	0.0127	0.0002	0.0103	0.0180	0.0269	0.0000
ENSG00000249901	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0172	0.0000
ENSG00000249904	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NGFR-AS1	0.0019	0.0021	0.0048	0.0005	0.0000	0.0000	0.0000	0.0001	0.0113	0.0044	0.0016	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0072	0.0000	0.0000	0.0021	0.0037	0.0000	0.0114	0.0000
BRD9P2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CYCTP	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TRIM51CP	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TRBV26	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PDCD6	0.0380	0.0678	0.0339	0.0406	0.0703	0.0364	0.1211	0.0556	0.0271	0.0386	0.0744	0.0000	0.0896	0.0607	0.0715	0.0414	0.0336	0.0654	0.0337	0.0124	0.0412	0.0000	0.0928	0.0308	0.0290	0.0730	0.0617	0.0250
ENSG00000249916	0.0019	0.0015	0.0009	0.0020	0.0000	0.0000	0.0000	0.0032	0.0031	0.0057	0.0055	0.0000	0.0003	0.0023	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0040	0.0066	0.0000	0.0000	0.0084
LINC00536	0.0045	0.0114	0.0048	0.0042	0.0016	0.0074	0.0000	0.0026	0.0000	0.0003	0.0018	0.0000	0.0007	0.0030	0.0028	0.0000	0.0933	0.0000	0.0000	0.0000	0.0124	0.0000	0.0000	0.0042	0.0063	0.0000	0.0031	0.0364
FABP5P6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HNRNPA1P55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RACK1P1	0.0009	0.0028	0.0005	0.0010	0.0000	0.0056	0.0000	0.0014	0.0026	0.0019	0.0011	0.0000	0.0041	0.0009	0.0165	0.0000	0.0000	0.0000	0.0068	0.0000	0.0000	0.0000	0.0131	0.0011	0.0000	0.0000	0.0000	0.0000
LINC02891	0.0000	0.0012	0.0013	0.0005	0.0009	0.0000	0.0000	0.0010	0.0000	0.0006	0.0000	0.0000	0.0004	0.0029	0.0000	0.0000	0.0000	0.0000	0.0016	0.0033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000
ENSG00000249924	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UQCRBP3	0.0000	0.0021	0.0003	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0003	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000
ENSG00000249930	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0001	0.0026	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0009	0.0000	0.0000	0.0000	0.0000
GOLGA8K	0.0007	0.0026	0.0000	0.0000	0.0000	0.0016	0.0000	0.0003	0.0000	0.0012	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0043	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0008	0.0005	0.0000
NCOA4P2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RAC1P2	0.0005	0.0034	0.0020	0.0016	0.0192	0.0123	0.0000	0.0075	0.0031	0.0077	0.0054	0.0000	0.0105	0.0042	0.0002	0.0000	0.0074	0.0000	0.0081	0.0042	0.0000	0.0000	0.0413	0.0019	0.0000	0.0059	0.0007	0.0001
LINC02223	0.0067	0.0054	0.0033	0.0011	0.0000	0.0140	0.0000	0.0004	0.0058	0.0039	0.0000	0.0000	0.0022	0.0114	0.0043	0.2001	0.0000	0.0256	0.0234	0.0029	0.0320	0.1821	0.0000	0.0025	0.0065	0.0000	0.0477	0.0000
ENSG00000249941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000
ENSG00000249942	0.0015	0.0041	0.0000	0.0009	0.0000	0.0013	0.0000	0.0010	0.0000	0.0002	0.0000	0.0000	0.0010	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0007	0.0004	0.0000
ENSG00000249943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249945	0.0000	0.0000	0.0008	0.0000	0.0001	0.0000	0.0000	0.0003	0.0000	0.0005	0.0010	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0118	0.0000
XBP1P1	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000
GBA3	0.0082	0.0155	0.0055	0.0074	0.0398	0.0099	0.0152	0.2569	0.0560	0.0020	0.0089	0.0000	0.2560	0.0157	0.0316	0.0000	0.0144	0.0146	0.0000	0.0000	0.0000	0.0000	0.1391	0.1014	0.0149	0.1970	1.2271	0.0153
ENSG00000249950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249951	0.0020	0.0353	0.0012	0.0014	0.0210	0.0011	0.0000	0.0018	0.0000	0.0016	0.0010	0.0000	0.0062	0.0165	0.0102	0.0000	0.0000	0.0000	0.0072	0.0000	0.0207	0.0000	0.0017	0.0015	0.0080	0.0020	0.0000	0.0000
ENSG00000249955	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0040	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000
UGT2B24P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
CCT7P2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249959	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0002	0.0000
ENSG00000249960	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TERB1	0.0120	0.0649	0.0042	0.0032	0.0132	0.0028	0.0000	0.0094	0.0031	0.0021	0.0124	0.0000	0.0013	0.0032	0.0265	0.0242	0.0000	0.0053	0.0072	0.0000	0.0231	0.0000	0.0000	0.0005	0.0344	0.0000	0.0765	0.0000
EEF1A1P20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
CDC42P4	0.0006	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0007	0.0006	0.0000	0.0000	0.0029	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000
ENSG00000249966	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249967	0.0016	0.0024	0.0014	0.0014	0.0000	0.0009	0.0000	0.0041	0.0107	0.0103	0.0028	0.4131	0.0037	0.0288	0.0064	0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0021	0.0000	0.0558
ENSG00000249970	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249971	0.0017	0.0000	0.0000	0.0026	0.0000	0.0007	0.0000	0.0004	0.0000	0.0000	0.0012	0.0000	0.0003	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000
CHCHD2P7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR5H3P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249976	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TRGV7	0.0000	0.0000	0.0067	0.0720	0.0000	0.0050	0.0000	0.0000	0.0013	0.0000	0.0244	0.0000	0.0000	0.0000	0.0000	0.0361	0.0000	0.0053	0.0147	0.0000	0.0000	0.0995	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000
ENSG00000249981	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
YWHAQP6	0.0000	0.0000	0.0008	0.0018	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0008	0.0000	0.0013	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0043	0.0015	0.0000	0.0000	0.0000	0.0000
RPS4XP20	0.0013	0.0000	0.0008	0.0006	0.0001	0.0001	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0003	0.0004	0.0000	0.0000	0.0000	0.0000
MTCO2P24	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TMEM158	0.0028	0.0064	0.0071	0.0052	0.0149	0.0278	0.0000	0.0051	0.0274	0.1359	0.0017	0.0000	0.0177	0.0068	0.0000	0.0000	0.1665	0.0191	0.0014	0.0218	0.0000	0.0000	0.0093	0.0038	0.0074	0.0145	0.0842	0.1122
BFSP2-AS1	0.0309	0.0000	0.0801	0.1709	0.0039	0.0035	0.0000	0.0010	0.0037	0.0014	0.2681	0.2605	0.0013	0.0043	0.0263	0.0137	0.0000	0.0000	0.0034	0.0000	0.1441	0.0000	0.0000	0.1062	0.1623	0.0070	0.0000	0.0089
ENSG00000249994	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ECM1P2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PPIC-AS1	0.0000	0.0071	0.0000	0.0000	0.0010	0.0000	0.0000	0.0149	0.0128	0.0076	0.0000	0.0000	0.0073	0.0110	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0133	0.0111	0.0000
MTCO3P7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249998	0.0038	0.0052	0.0005	0.0005	0.0017	0.0043	0.0000	0.0024	0.0136	0.0018	0.0000	0.0000	0.0004	0.0019	0.0000	0.0000	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000
ENSG00000250001	0.0000	0.0000	0.0002	0.0000	0.0034	0.0000	0.0000	0.0004	0.0015	0.0005	0.0000	0.0000	0.0001	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000250006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GJD2-DT	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0003	0.0000	0.0000	0.0005	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0155	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0466	0.0695
HMGB1P3	0.0213	0.0000	0.0039	0.0053	0.0123	0.0019	0.0000	0.0065	0.0025	0.0042	0.0036	0.0000	0.0004	0.0061	0.0032	0.0000	0.0361	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0024	0.0073	0.0000	0.0000	0.0000
ZP3P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000250015	0.0222	0.0056	0.0089	0.0044	0.0128	0.0034	0.0000	0.0016	0.0111	0.0068	0.0029	0.0000	0.0049	0.0047	0.0165	0.0000	0.0000	0.0100	0.0014	0.0000	0.0000	0.0000	0.0000	0.0097	0.0224	0.0101	0.0372	0.0000
SNX18P23	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000250017	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0001	0.0000
SPICP4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ARPIN-AP3S2	0.0000	0.0066	0.0000	0.0000	0.0000	0.0025	0.0000	0.0019	0.0018	0.0023	0.0000	0.0000	0.0014	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0002	0.0000	0.0010	0.0140	0.0000
ENSG00000250024	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000
ENSG00000250025	0.0059	0.0000	0.0025	0.0015	0.0000	0.0000	0.0000	0.0017	0.0029	0.0024	0.0010	0.0000	0.0033	0.0049	0.0000	0.0000	0.0000	0.0000	0.0038	0.0000	0.0000	0.0000	0.0000	0.0008	0.0087	0.0000	0.0000	0.0000
TMPRSS11BNL	0.0017	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0008	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000
ENSG00000250027	0.0181	0.0000	0.0181	0.0063	0.0103	0.0074	0.0000	0.0021	0.0066	0.0170	0.0043	0.2605	0.0039	0.0057	0.0269	0.0000	0.0000	0.0100	0.0101	0.0343	0.0175	0.0000	0.0000	0.0098	0.0135	0.0000	0.0000	0.0000
ENSG00000250030	0.0007	0.0000	0.0020	0.0012	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0008	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0012	0.0041	0.0000	0.0000	0.0000
PTPN11P2	0.0081	0.0020	0.0060	0.0043	0.0001	0.0032	0.0000	0.0037	0.0000	0.0003	0.0094	0.0000	0.0016	0.0000	0.0044	0.0091	0.0083	0.0000	0.0332	0.0000	0.0000	0.0000	0.0000	0.0046	0.0128	0.0000	0.0148	0.0000
