gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
POLR2J	0.3745	0.3559	0.4548	0.4178	0.4450	0.4773	0.6023	0.5015	0.4812	0.3900	0.4909	0.2232	0.1834	0.4666	0.4998	0.6945	0.5294	0.2255	0.4461	0.2627	0.2536	0.2553	0.2901	0.5674	0.5899	0.3963	0.3274	0.0917	0.6028	0.4361	0.2919	0.7476	0.4038	0.5387
DHX33	0.0955	0.0733	0.0777	0.0942	0.0825	0.0519	0.1744	0.1309	0.1554	0.0724	0.0499	0.1130	0.1337	0.0878	0.1659	0.1580	0.1094	0.1464	0.1579	0.0935	0.0952	0.0572	0.0648	0.0436	0.0642	0.0519	0.0682	0.0778	0.1017	0.1013	0.0390	0.0654	0.0580	0.1767
MEOX1	0.0043	0.0016	0.0006	0.0014	0.0024	0.0054	0.1234	0.0205	0.3285	0.0019	0.0006	0.0000	0.0005	0.0000	0.0000	0.0137	0.0000	0.0000	0.0000	0.0016	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0016	0.0000
THSD7A	0.0008	0.1957	0.0006	0.0028	0.0114	0.0097	1.0089	1.9607	1.9561	0.0189	0.0245	0.0367	0.0314	0.4359	0.0050	0.1430	0.0000	0.0000	0.0480	0.0198	0.0026	0.0062	0.0000	0.0000	0.0000	0.0000	0.0228	0.0790	0.0099	0.0385	0.0062	0.0000	0.1320	0.0702
LIG3	0.1146	0.1273	0.0983	0.1076	0.1476	0.1177	0.1053	0.0792	0.1082	0.1099	0.0843	0.1408	0.1344	0.1209	0.1051	0.0858	0.0556	0.0613	0.1288	0.2235	0.0328	0.1460	0.0105	0.1377	0.2046	0.1133	0.1097	0.0379	0.1027	0.0000	0.1092	0.1565	0.1604	0.0849
RPAP3	0.2719	0.3339	0.3025	0.3007	0.3410	0.2990	0.1780	0.2584	0.2266	0.1403	0.1062	0.1861	0.2207	0.2746	0.1693	0.1760	0.2785	0.0777	0.2499	0.2897	0.2080	0.1261	0.1720	0.2043	0.2361	0.2841	0.1923	0.0841	0.1631	0.2309	0.0789	0.2592	0.2014	0.4917
ACSM3	0.0715	0.0331	0.0240	0.0330	0.0293	0.0499	0.0016	0.4325	0.0263	0.0234	0.0129	0.0336	0.0280	0.0229	0.9816	0.3358	0.0192	0.0180	0.1197	0.0157	0.0167	0.0693	0.0133	0.0000	0.0221	0.0082	0.0199	0.1144	0.0556	0.0000	0.0337	0.0000	0.0329	0.0854
REXO5	0.0000	0.0391	0.0063	0.0056	0.0070	0.0055	0.1077	0.0000	0.0919	0.0214	0.0134	0.0495	0.0433	0.0266	0.0424	0.0748	0.0180	0.0324	0.0533	0.0446	0.0044	0.0232	0.0000	0.0000	0.0347	0.0252	0.0095	0.0000	0.0247	0.0900	0.0077	0.0000	0.0694	0.1670
CIAPIN1	0.1313	0.1827	0.1153	0.1098	0.1243	0.1099	0.2474	0.1760	0.2954	0.2047	0.1427	0.2141	0.1671	0.1643	0.1487	0.1474	0.0899	0.0345	0.1641	0.1629	0.1288	0.1290	0.1237	0.0874	0.2045	0.0748	0.0597	0.0000	0.2691	0.0000	0.0697	0.0685	0.1227	0.1594
SPPL2B	0.1985	0.6344	0.0682	0.0968	0.1100	0.1418	0.1570	0.1799	0.1130	0.5175	0.2998	0.8085	0.4806	0.3926	0.2419	0.1877	0.0532	0.0509	0.5148	0.7166	0.0384	0.0663	0.0404	0.0000	0.2385	0.0279	0.1010	0.0868	0.3372	0.1069	0.0635	0.1421	0.7721	0.2776
ATOSB	0.0284	0.1436	0.0310	0.0301	0.0517	0.0220	0.1332	0.0736	0.0706	0.1515	0.1062	0.1003	0.1066	0.0887	0.0691	0.0628	0.0076	0.0000	0.0616	0.0939	0.3193	0.0317	0.1831	0.0709	0.0797	0.0117	0.0479	0.0729	0.0878	0.1677	0.0212	0.0000	0.0938	0.1278
COPZ2	0.0040	0.0013	0.0078	0.0110	0.0024	0.0127	0.0525	0.0155	0.1669	0.0000	0.0002	0.0000	0.0000	0.0026	0.3257	0.3578	0.1031	0.0264	0.0000	0.0000	0.0191	0.0215	0.0000	0.0000	0.2025	0.0189	0.0325	0.0222	0.0022	0.1535	0.0445	0.0000	0.0120	0.0000
PRKAR2B	0.0325	0.0041	0.1177	0.3148	0.0868	0.2808	0.1130	0.0145	0.0000	0.0025	0.0004	0.0000	0.0177	0.0132	0.0407	1.1735	4.3158	0.9093	0.0079	0.2538	0.3593	0.4531	0.1933	0.8200	1.5725	0.1165	2.6639	0.0307	0.0007	1.4185	0.0756	0.0930	0.0043	0.0000
MSL3	0.2240	0.1222	0.1682	0.2184	0.3056	0.2495	0.2679	0.3284	0.3959	0.1114	0.0723	0.1151	0.1124	0.1114	0.1401	0.0974	0.1205	0.1003	0.1333	0.2768	0.2970	0.1115	0.2624	0.2900	0.2249	0.6002	0.1840	1.2553	0.1107	0.0797	0.0768	0.1307	0.1246	0.0577
CREBBP	1.9531	1.3612	1.7153	2.0458	1.5033	1.6381	1.6065	1.6062	1.5162	1.0032	1.0609	1.7282	0.6506	1.1787	1.1312	1.5087	1.9853	2.4879	1.0378	1.5496	2.2550	1.8345	2.3612	2.7868	1.4265	1.4378	2.3598	2.7378	0.8606	2.9181	0.7414	1.5194	1.0909	0.5803
TSPOAP1	0.0808	0.0104	0.0390	0.1076	0.1066	0.0676	0.0000	0.1782	0.0000	0.0039	0.0003	0.0081	0.0065	0.0382	0.0554	0.0627	0.0458	0.0202	0.0167	0.0783	0.0655	0.0866	0.0522	0.2680	0.0916	0.0300	0.1302	0.0000	0.0055	0.0000	0.0321	0.0000	0.0115	0.0000
MPO	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0278	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0067	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PON1	0.0005	0.0015	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0029	0.0000	0.0011	0.0127	0.0179	0.0087	0.0000	0.0000	0.0008	0.0067	0.0022	0.0000	0.0000	0.0000	0.0404	0.0000	0.0000	0.0063	0.0009	0.0000	0.0007	0.0000	0.0119	0.0000
GCFC2	0.1757	0.2022	0.1418	0.1493	0.2367	0.1871	0.1340	0.4928	0.3255	0.1615	0.1589	0.3173	0.1099	0.1939	0.4312	0.2429	0.1262	0.2621	0.1774	0.2573	0.1362	0.1390	0.0212	0.2259	0.3473	0.1523	0.1530	0.0000	0.1161	0.1840	0.0579	0.1499	0.1397	0.1773
WDR54	0.1400	0.0035	0.1640	0.1613	0.1190	0.1708	0.1424	0.2240	0.2553	0.0045	0.0039	0.0049	0.0129	0.0861	0.0294	0.1428	0.0655	0.0430	0.0283	0.0679	0.0320	0.0712	0.0067	0.0000	0.0792	0.1743	0.0912	0.0000	0.0193	0.0743	0.0844	0.0000	0.0112	0.0000
CROT	0.0782	0.3278	0.0420	0.0536	0.0675	0.0749	0.0814	0.1001	0.0611	0.7615	0.4557	0.7623	0.2985	0.7592	0.1607	0.1195	0.0551	0.2422	0.3267	0.0490	0.0818	0.0731	0.0568	0.0927	0.1496	0.0268	0.0802	0.0243	0.5059	0.0000	0.0690	0.1661	0.1870	0.1883
ABCB4	0.1982	0.0117	0.0003	0.0028	0.0027	0.0067	0.0137	0.0000	0.0443	0.0086	0.0223	0.0000	0.0078	0.0950	0.1762	0.0058	0.0000	0.0000	0.0107	0.0086	0.0874	0.0000	0.0000	0.1647	0.0183	0.0000	0.0004	0.0000	0.0032	0.0000	0.0159	0.0000	0.0192	0.0000
KMT2E	12.6697	1.9679	8.3195	9.7188	10.4195	10.6975	6.0995	5.8733	4.8710	1.2949	1.4343	2.3853	1.0458	2.0152	3.6728	2.6559	9.0334	11.6266	1.4348	3.2555	6.6816	9.7134	12.0439	5.4458	3.1397	5.8937	12.1313	7.2514	1.1261	5.7721	6.0948	13.9012	1.9878	1.1278
RHBDD2	0.2054	0.1718	0.4872	0.3945	0.3783	0.3368	0.2085	0.2671	0.1708	0.2783	0.1610	0.2424	0.1482	0.4258	0.2616	0.2507	0.1987	0.1533	0.2379	0.3840	0.5175	0.7185	0.4666	0.1363	0.0869	0.5793	0.1838	0.1166	0.3124	0.1323	0.1152	1.6615	0.1781	0.0614
SOX8	0.0159	0.0087	0.0129	0.0021	0.0025	0.0027	0.0353	0.0000	0.0062	0.0002	0.0000	0.0000	0.0016	0.0000	0.3152	0.0244	0.0045	0.0000	0.0003	0.0301	0.0193	0.0000	0.0000	0.0000	0.0000	0.0112	0.0000	0.0000	0.0020	0.1341	0.0073	0.0000	0.0043	0.0233
IBTK	0.3091	1.5238	0.2584	0.2908	0.3470	0.3814	0.4522	0.5004	0.5787	1.3355	1.6775	1.1991	0.7852	0.9716	0.4677	0.4320	0.4203	0.7148	0.6527	0.4496	0.8706	0.3884	0.6569	0.5633	0.4248	0.2650	0.4401	0.2965	1.5828	0.3724	0.5196	0.1681	1.5665	0.8802
ZNF195	0.1878	0.2117	0.2182	0.2417	0.2802	0.2091	0.1884	0.2532	0.0932	0.2200	0.1584	0.3116	0.2604	0.3089	0.2180	0.1513	0.2500	0.2282	0.3137	0.4008	0.1603	0.1465	0.1454	0.1972	0.0918	0.2078	0.1258	0.0436	0.1684	0.0354	0.0822	0.6001	0.2107	0.2835
MYCBP2	3.2875	0.7583	1.1329	1.4446	1.5716	2.0081	2.0023	2.2799	3.1763	0.5914	0.2732	1.1706	0.4185	0.8548	1.1839	1.6006	1.5282	2.3162	0.6463	1.3879	2.2066	1.5168	2.1344	2.9429	2.0567	2.1352	1.8511	1.2882	0.4134	3.0449	1.1750	1.1579	0.5251	0.6416
FBXL3	0.5458	0.4443	0.5129	0.4708	0.4127	0.4988	0.4799	0.6948	0.5354	0.3483	0.4264	0.5169	0.1692	0.3401	0.5188	0.5369	0.4770	0.5425	0.3640	0.3630	0.3340	0.6543	0.3554	0.2435	0.7372	0.6582	0.3980	0.1947	0.3840	0.5966	0.1547	0.1565	0.2744	0.4795
ITGAL	0.1485	0.0048	0.2657	0.5689	0.5684	0.7987	0.0101	0.0511	0.0174	0.0083	0.0461	0.0000	0.0205	0.0079	0.0171	0.0293	0.2822	0.0514	0.0109	0.0223	0.0504	0.0490	0.0903	0.0711	0.0613	0.1995	0.6154	0.2039	0.0100	0.0000	0.3487	0.2482	0.0108	0.0000
PDK2	0.0212	0.2028	0.0471	0.0441	0.0536	0.0327	0.1674	0.0879	0.0243	0.1748	0.3394	0.1815	0.0946	0.1708	0.0906	0.1480	0.0413	0.0000	0.2450	0.2339	0.0400	0.0375	0.0450	0.0000	0.1396	0.0104	0.0463	0.0000	0.2492	0.1996	0.0366	0.2301	0.2718	0.0554
ITGA3	0.0526	0.3730	0.0345	0.0520	0.0364	0.0580	0.1143	0.1407	0.1360	0.5444	0.4510	0.5731	0.3395	0.2264	0.0707	0.0312	0.0000	0.0959	0.2814	0.2307	0.0022	0.0369	0.0287	0.0000	0.2716	0.0845	0.0500	0.0390	0.3150	0.1831	0.0700	0.0000	0.2306	0.2774
ZFX	0.7115	0.6240	0.5315	0.7824	0.7292	0.9915	0.7357	0.6689	0.5914	0.5214	0.4334	0.8737	0.2645	0.5473	0.5584	0.5426	0.8339	1.4025	0.4189	0.6466	1.0107	0.6782	1.5112	0.6965	0.6963	0.7322	0.8057	0.8455	0.4048	0.6056	0.3568	0.2105	0.4987	0.4163
LAMP2	0.2458	0.4755	0.2478	0.2679	0.2830	0.2607	0.8403	1.0599	1.0040	0.4658	0.7189	0.4421	0.1630	0.6186	3.6926	1.4538	0.3800	0.4144	0.4634	0.3192	1.7481	0.1577	1.5176	0.5577	0.5656	0.2890	0.3575	0.7921	0.7679	2.1034	0.7076	0.5364	0.2424	0.2679
ITGA2B	0.0093	0.0013	0.0132	0.0134	0.0023	0.0101	0.0124	0.0477	0.0062	0.0034	0.0026	0.0000	0.0128	0.0023	0.0195	0.0138	0.0120	0.0000	0.0021	0.0008	0.0026	0.0100	0.0000	0.0000	0.0000	0.0180	0.0094	0.0000	0.0021	0.0385	0.0016	0.0000	0.0084	0.0153
ASB4	0.0000	0.0086	0.0003	0.0013	0.0000	0.0033	0.0000	0.0000	0.0000	0.0100	0.0041	0.0128	0.0155	0.0016	0.0395	0.0101	0.0308	0.0000	0.0042	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0042	0.0863	0.0020	0.0000	0.0225	0.0000
GDE1	0.1320	0.3787	0.4053	0.2400	0.2010	0.1633	0.2570	0.1331	0.1543	0.2564	0.4207	0.2923	0.3066	0.4577	0.1898	0.3638	0.4416	0.8532	0.4799	0.3711	0.2503	0.1147	0.3810	0.0874	0.3412	0.2877	0.3697	0.1615	0.5337	0.2988	0.1033	0.2173	0.4406	0.3594
REX1BD	0.5408	0.3839	0.5699	0.7120	0.8751	0.9110	0.7457	0.8168	0.7796	0.3341	0.2969	0.3460	0.2909	0.2647	0.4912	0.6968	1.0324	0.6617	0.4928	0.2730	0.5467	0.6456	0.4645	0.4437	0.4306	0.5807	0.6284	0.1421	0.5723	0.7334	0.5292	0.5444	0.3039	0.2550
CRLF1	0.0016	0.0058	0.0073	0.0158	0.0246	0.0178	0.0113	0.0000	0.0000	0.0060	0.0099	0.0000	0.0102	0.0008	0.0093	0.3368	0.0285	0.0362	0.0069	0.0000	0.0045	0.0000	0.0000	0.0000	0.3254	0.0161	0.0224	0.0000	0.0061	0.0000	0.0034	0.0000	0.0131	0.0119
OSBPL7	0.0390	0.7333	0.2692	0.3033	0.2247	0.1825	0.1135	0.0420	0.0532	0.4141	0.1101	0.5823	0.4845	0.0791	0.0514	0.0479	0.2575	0.1121	0.3551	0.1774	0.0261	0.0624	0.0000	0.0436	0.0000	0.0611	0.2970	0.0008	0.3159	0.0797	0.0214	0.1787	0.4828	0.5477
TMEM98	0.0020	0.1955	0.0008	0.0037	0.0055	0.0073	0.0241	0.2692	0.0992	0.3599	0.6187	0.3090	0.2597	0.6235	0.0593	0.3933	0.0297	0.0000	0.6461	0.0478	0.0037	0.0040	0.0030	0.0000	0.1015	0.0000	0.0035	0.0000	0.6226	0.0000	0.0156	0.0000	0.2473	0.2878
YBX2	0.0000	0.0752	0.0010	0.0038	0.0065	0.0075	0.0068	0.0000	0.0139	0.1272	0.0451	0.2026	0.1103	0.0039	0.0000	0.0000	0.0021	0.0000	0.1419	0.0457	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0599	0.0592	0.0000	0.0002	0.0000	0.0380	0.2387
KRT33A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MAP3K14	0.4828	1.0716	0.4709	0.5055	0.3583	0.3813	0.2856	0.1410	0.3969	0.9833	1.2325	1.3796	1.0688	0.8662	0.3200	0.3002	0.5045	0.3609	1.1224	0.4675	0.2088	0.4134	0.2252	0.4547	0.2101	0.4649	0.6103	0.0000	1.3899	0.1141	0.1747	0.6819	0.8828	1.0773
ABCC8	0.0000	0.0136	0.0000	0.0023	0.0096	0.0070	0.0000	0.0000	0.1439	0.0054	0.0036	0.0038	0.0299	0.9451	0.0001	0.0050	0.0000	0.0000	0.0203	0.0158	0.0119	0.0045	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0024	0.0000	0.0035	0.0000	0.0107	0.0000
CACNG3	0.0050	0.0000	0.0015	0.0034	0.0000	0.0064	0.0000	0.0000	0.0000	0.0037	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	0.0000	0.0000	0.0024	0.0052	0.0000	0.0174	0.0000	0.0081	0.0000	0.0000	0.0000	0.0006	0.0000	0.0015	0.0000	0.0038	0.0000
TMEM132A	0.0154	0.0129	0.0007	0.0005	0.0000	0.0000	0.2121	0.0325	0.0312	0.0008	0.0002	0.0000	0.0077	0.0885	0.2390	0.0167	0.0000	0.0000	0.0125	0.0000	0.0000	0.0000	0.0051	0.0000	0.0000	0.0000	0.0000	0.0243	0.0046	0.1033	0.0000	0.0000	0.0081	0.0000
AP2B1	1.5517	0.9739	1.7587	1.6299	1.1315	1.4618	1.0795	1.2651	1.3414	0.9328	1.2441	1.0472	0.8747	1.3482	1.0202	0.8909	1.2343	2.0819	1.2086	1.2419	0.7672	1.4260	1.4833	0.8974	1.1990	1.6234	1.6727	1.6115	1.3720	1.2656	0.4001	1.8501	1.2836	1.4040
TAC1	0.0000	0.0000	0.0000	0.0136	0.0000	0.0000	0.0000	0.0000	0.6536	0.0012	0.0166	0.0000	0.0044	0.3603	0.1110	0.0794	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.0021	0.0000	0.0042	0.0000
ZNF263	0.1752	0.1237	0.1413	0.1237	0.0967	0.1373	0.2154	0.1646	0.2036	0.1019	0.0638	0.1833	0.0859	0.1051	0.2065	0.1357	0.0690	0.1633	0.1292	0.0956	0.1579	0.0722	0.1038	0.1877	0.1508	0.2062	0.1174	0.1620	0.1038	0.1797	0.0451	0.3124	0.0882	0.1446
CX3CL1	0.0000	0.0000	0.0003	0.0009	0.0000	0.0000	0.9240	0.0000	0.4396	0.0004	0.0003	0.0000	0.0053	0.0008	0.0323	0.0524	0.0000	0.0000	0.0004	0.1261	0.0015	0.0000	0.0000	0.0554	0.1511	0.0000	0.0000	0.0000	0.0000	0.0276	0.0023	0.0000	0.0014	0.0000
SPATA20	0.0349	0.1665	0.0377	0.0341	0.0497	0.0275	0.0981	0.1303	0.0877	0.0525	0.0303	0.0843	0.1574	0.1844	0.0954	0.1100	0.0999	0.0142	0.1038	0.3344	0.1812	0.0842	0.0385	0.0716	0.2043	0.0306	0.0221	0.0367	0.1106	0.2089	0.0654	0.0733	0.1711	0.0613
CACNA1G	0.0000	0.0009	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0004	0.0000	0.0075	0.0000	0.0091	0.0237	0.0000	0.0000	0.0009	0.0611	0.1249	0.0000	0.0098	0.0000	0.0000	0.0000	0.0000	0.0248	0.0002	0.0000	0.0014	0.0000	0.0021	0.0000
TNFRSF12A	0.0069	0.8129	0.0393	0.0311	0.0574	0.0271	0.1202	0.0102	0.0306	0.9219	0.9441	0.5372	0.8830	0.2984	0.8995	0.5265	0.0192	0.0000	1.0036	0.0445	0.0308	0.0962	0.0000	0.0000	0.5074	0.0000	0.0071	0.0000	1.0295	0.5131	0.0385	0.0000	0.3222	1.0455
DLX6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0158	0.0053	0.0210	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000
MAP3K9	0.2173	0.1962	0.1812	0.1834	0.1317	0.1043	0.0199	0.0387	0.0158	0.1195	0.1192	0.2112	0.1621	0.2366	0.0098	0.0161	0.1339	0.0804	0.1588	0.2514	0.0447	0.0426	0.0182	0.0000	0.0000	0.2437	0.2220	0.0734	0.0922	0.0000	0.1345	0.4611	0.1783	0.1953
RALA	0.7580	0.7846	0.7930	0.6798	0.4757	0.3986	0.8405	0.8873	0.8834	0.7778	1.0546	0.6898	0.3782	0.7683	0.7816	0.4890	1.3034	0.8619	0.6400	0.4397	1.1191	0.3125	0.7502	6.7323	0.4194	0.7959	1.0011	0.6692	0.8480	0.3224	0.4339	0.9282	0.7499	0.2998
BAIAP2L1	0.0217	3.6049	0.0001	0.0088	0.0134	0.0119	0.6976	0.0101	0.7197	1.7638	1.6175	2.3353	1.3601	3.0940	0.0000	0.0118	0.0000	0.0416	1.9781	0.3224	0.0592	0.0450	0.0172	0.0000	0.0000	0.0000	0.0000	0.1534	2.4371	0.0840	0.0360	0.0000	3.6917	1.8315
KDM7A	0.6353	1.4792	0.4252	0.5032	0.5266	0.4416	0.5146	0.4797	0.6300	1.1137	0.8253	2.0316	0.9562	1.5517	0.3524	0.6173	0.4448	0.5937	1.0994	1.8936	0.9621	0.3530	1.1656	1.0557	0.8939	0.5622	0.5631	0.5688	0.9968	0.9692	0.1992	0.7023	2.1641	1.3528
ETV1	0.0051	0.0062	0.0000	0.0010	0.0000	0.0038	0.1143	0.1439	0.1522	0.0034	0.0059	0.0000	0.0273	0.8241	0.0178	0.1190	0.0000	0.0000	0.0156	0.0162	0.0261	0.0000	0.0000	0.0000	0.0575	0.0000	0.0000	0.1614	0.0022	0.0429	0.0003	0.0930	0.0071	0.0119
AGK	0.3185	0.1181	0.1182	0.1432	0.1586	0.2387	0.2112	0.2008	0.2589	0.1021	0.0744	0.1559	0.0915	0.1398	0.4796	0.1684	0.3291	0.2219	0.1763	0.2591	0.1120	0.1097	0.0692	0.3907	0.2677	0.0672	0.1768	0.1533	0.0784	0.1991	0.0990	0.1406	0.1218	0.0824
ALDH3B1	0.0017	0.0730	0.0000	0.0009	0.0054	0.0016	0.0102	0.0024	0.0000	0.0950	0.0677	0.0781	0.0554	0.0317	0.2387	0.0763	0.0000	0.0000	0.0570	0.0058	0.2547	0.0568	0.2543	0.0436	0.0000	0.0000	0.0000	0.0329	0.1213	0.0000	0.0041	0.0000	0.0367	0.0291
TTC22	0.0118	0.2081	0.0302	0.0406	0.0453	0.0509	0.0166	0.0000	0.0000	0.1705	0.2724	0.1274	0.0931	0.0707	0.0000	0.0000	0.0857	0.0164	0.1015	0.1097	0.0020	0.0057	0.0090	0.0000	0.0000	0.0153	0.0280	0.0209	0.1778	0.0000	0.0258	0.1101	0.1642	0.0351
PHTF2	0.9900	0.2459	0.8203	0.5665	1.1946	0.9167	0.5271	1.0833	0.4576	0.1140	0.2270	0.2025	0.0636	0.4346	0.3073	0.3094	0.7834	1.2843	0.1202	0.2414	1.2128	1.2780	0.7073	0.7744	0.4787	0.9892	0.9055	0.5841	0.0642	0.3742	0.0879	4.3122	0.2152	0.1462
CCL26	0.0017	0.0029	0.0003	0.0007	0.0000	0.0026	0.0000	0.0000	0.0000	0.0070	0.0077	0.0111	0.0058	0.0024	0.0000	0.1707	0.0000	0.0000	0.0131	0.0048	0.0011	0.0150	0.0098	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0000	0.0026	0.0000	0.0778	0.0000
FARP2	1.5129	1.7200	0.2423	0.3069	0.2243	0.2628	0.3784	0.7088	0.4663	1.0843	0.9919	1.9100	0.7909	1.4204	0.8161	0.5052	0.2986	0.6159	1.2592	5.6488	1.3210	1.4391	0.5320	2.0354	0.6956	0.1278	0.3826	0.5865	0.7889	1.1719	0.6795	0.1101	2.0650	0.9535
USH1C	0.0046	1.1391	0.0002	0.0072	0.0198	0.0189	0.0000	0.0000	0.0195	1.3277	1.8308	1.2313	1.0100	1.1309	0.0653	0.0010	0.0041	0.0000	1.0526	2.5770	0.0264	0.0000	0.0000	0.0000	0.0000	0.0000	0.0411	0.0792	1.1667	0.0000	0.0396	0.0000	0.9548	1.0378
GGCT	0.0629	0.1508	0.0698	0.0890	0.1282	0.1195	0.1694	0.1913	0.3151	0.1239	0.2649	0.1630	0.1205	0.1255	0.4304	0.1783	0.3289	0.1352	0.4874	0.0354	0.1187	0.0935	0.1909	0.1106	0.1468	0.1191	0.1688	0.0000	0.4814	0.1324	0.0622	0.2025	0.0719	0.2310
DBF4	0.4459	0.1425	0.6914	0.7585	0.6158	0.6144	0.1454	0.2500	0.1590	0.0855	0.0818	0.2527	0.0834	0.0800	0.0385	0.1400	0.8833	1.6069	0.1892	0.2055	0.2520	0.4470	0.2071	0.5208	0.0272	0.9629	0.7516	0.0836	0.1364	0.2887	0.1897	1.2956	0.1923	0.0767
TBXA2R	0.0028	0.0000	0.0006	0.0000	0.0000	0.0017	0.3835	0.0640	0.0536	0.0008	0.0006	0.0000	0.0012	0.0029	0.0000	0.0536	0.0000	0.0000	0.0007	0.0000	0.0088	0.0000	0.0000	0.0000	0.2087	0.0000	0.0000	0.0000	0.0000	0.1250	0.0006	0.0000	0.0007	0.0000
IFRD1	0.4284	1.6802	0.4572	0.4771	0.4670	0.5335	0.6305	0.2395	0.4924	1.3241	1.0002	1.9320	1.2654	0.9462	1.0035	0.8665	0.4265	0.5749	1.1903	0.2579	1.2382	0.4776	0.7604	0.2851	0.3771	0.4283	0.6537	2.4118	1.4859	1.0515	0.3464	0.3265	1.2428	1.0529
LGALS14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
COX10	0.1767	0.5097	0.1570	0.1487	0.1454	0.1751	0.2063	0.2659	0.0684	0.5354	0.5360	0.7169	0.3639	0.5828	0.1043	0.1533	0.2097	0.2509	0.5367	0.3277	0.1270	0.1973	0.0749	0.0490	0.2151	0.1356	0.2203	0.0686	0.3769	0.4849	0.0667	0.4768	0.6026	0.9279
GTF2IRD1	0.0304	0.2576	0.0011	0.0052	0.0049	0.0170	0.1101	0.1077	0.3346	0.2674	0.1306	0.7721	0.4751	0.7162	0.4341	0.1679	0.0179	0.0948	0.5416	0.5228	0.5458	0.4462	0.2014	0.0774	0.6131	0.0000	0.0000	0.3841	0.5091	0.0617	0.0456	0.0000	0.2091	0.7384
PAF1	0.4989	0.3795	0.6577	0.6362	0.5230	0.3982	0.3901	0.1608	0.2513	0.2115	0.1818	0.3024	0.2015	0.3207	0.3558	0.3542	0.2805	0.4303	0.2172	0.2485	0.2793	0.2699	0.2792	0.4906	0.1263	0.5663	0.3378	0.0190	0.2540	0.1635	0.1808	0.5716	0.2861	0.1576
VPS41	0.5648	0.5759	0.3536	0.4595	0.6824	0.6331	0.3568	0.8016	0.3218	0.4779	0.3648	0.6647	0.3337	0.9527	0.3046	0.4575	0.4953	0.7627	0.4157	0.7308	1.0244	0.4508	0.7717	1.8721	0.2045	0.0913	0.6651	0.2566	0.2651	0.3444	0.2735	0.4901	0.5096	0.5281
ARHGAP44	0.0736	0.5350	0.0020	0.0060	0.0054	0.0101	0.0586	0.0532	0.0139	0.8054	0.2289	1.0840	0.6073	0.5624	0.0111	0.1828	0.0110	0.0000	0.8711	0.4166	0.0069	0.0532	0.0208	0.0000	0.2209	0.0000	0.0000	0.9020	0.4091	0.3775	0.0204	0.0000	0.2043	0.6911
